# Created At: Mon Aug 05 2024 18:30:13 GMT+0200 (centraleuropeisk sommartid)
# We regularly expand our single cell data corpus to improve results. Downloaded data and figures may differ in the future.
# Link Generated: https://cellxgene.cziscience.com/gene-expression?tissues=UBERON%3A0002369&genes=AIF1%2CCST3%2CHLA-DRA%2CHLA-DPA1%2CLYZ%2CHLA-DQB1%2CLST1%2CSAT1%2CHLA-DPB1%2CPSAP%2CCD74%2CTYROBP%2CHLA-DRB1%2CCPVL%2CHLA-DQA1%2CCTSS%2CMS4A6A%2CCALHM6%2CFGL2%2CCSTA%2CGPR183%2CSPI1%2CJAML%2CHLA-DMB%2CRNASE6%2CC1QB%2CNPC2%2CC1QA%2CCD163%2CC1QC%2CMS4A7%2CCTSB%2CGRN%2CC5AR1%2CVSIG4%2CCD14%2CMS4A4A%2CFCER1G%2CPLAUR%2CMAFB%2CLAPTM5%2CLIPA%2CFCGR3A%2CAPOC1%2CCSF1R%2CMPO%2CRETN%2CMS4A3%2CS100A9%2CPRTN3%2CS100A8%2CAZU1%2CPLAC8%2CDEFA4%2CS100P%2CMNDA%2CNUCB2%2CCTSG%2CSRGN%2CDEFA3%2CTREM2%2CCD3E%2CCD3D%2CZFP36L2%2CBTG1%2CCXCR4%2CHLA-B%2CGZMA%2CCD2%2CPTPRC%2CCCL5%2CCST7%2CHLA-C%2CDUSP2%2CCD7%2CIL2RG%2CCYTIP%2CNKG7%2CGZMH%2CHLA-A%2CTNFAIP3%2CLCK%2CCD8A%2CIL32%2CCD3G%2CTRBC2%2CFLT1%2CLDB2%2CEMCN%2CPLVAP%2CCALCRL%2CPTPRB%2CEPAS1%2CKDR%2CST6GALNAC3%2CTGFBR2%2CHSPG2%2CRAMP2%2CEFNB2%2CPRCP%2CCDH5%2CCHRM3%2CA2M%2CEGFL7%2CKIAA1217%2CBTNL9%2CARHGAP29%2CENG%2CPTPRG%2CRASAL2%2CSEC14L1%2CCOL3A1%2CCOL1A2%2CCOL1A1%2CDCN%2CLUM%2CGPC3%2CPOSTN%2CFSTL1%2CMEST%2CSPARC%2CISLR%2COGN%2CCXCL12%2CCOL5A2%2CCOL5A1%2CPCOLCE%2CPLAC9%2CMGP%2CFBN1%2COLFML3%2CSERPINH1%2CCOL12A1%2CCRABP2%2CSULT1E1%2CPRSS35%2CNRXN1%2CNKAIN3%2CNRXN3%2CDST%2CPTPRZ1%2COLFML2A%2CSLC35F1%2CGAS7%2CPLP1%2CLRRTM4%2CQKI%2CPCDH9%2CCDH19%2CSOX5%2CNLGN4X%2CMPZ%2CIL1RAPL1%2CSORCS1%2CNLGN1%2CZNF536%2CTIMP3%2CPARD3B%2CVCAN%2CNAALADL2%2CRBFOX1%2CRGS5_ENSG00000143248%2CSTMN2%2CCACNA2D3%2CCNTN1%2CKCNQ5%2CCNTNAP2%2CDPP6%2CMAP1B%2CCADM2%2CSYT1%2CDLC1%2CCADM1%2CALCAM%2CRBMS3%2CLINGO2%2CUNC5C%2CCHGB%2CBMPR1B%2CTENM3%2CEML5%2CSEMA6D%2CPLXNA4%2CSORBS2%2CCTNNA2%2CFAM155A%2CCHGA%2CCCSER1%2CFGF14%2CAGBL4%2CROBO1%2CMEG3%2CROBO2%2CLSAMP%2CSLC24A2%2CDGKB%2CRALYL%2CMGAT4C%2CCACNB2%2CMAGI2&ver=2
# Dataset Filter Values: No selection
# Disease Filter Values: No selection
# Self-Reported Ethnicity Filter Values: No selection
# Publication Filter Values: No selection
# Sex Filter Values: No selection
# Organism Filter Value: Homo sapiens
Tissue,Cell Type,Cell Count,Tissue Composition,Gene Symbol,Expression,"Expression, Scaled",Number of Cells Expressing Genes
adrenal gland,aggregated,139187,2.92%,AIF1,2.590224606969081,0.2500053530720967,4059
adrenal gland,aggregated,139187,14.58%,CST3,2.6462803832274115,0.26193906051023347,20298
adrenal gland,aggregated,139187,6.70%,HLA-DRA,2.874931322362779,0.31061653133004336,9328
adrenal gland,aggregated,139187,7.59%,HLA-DPA1,2.4844452230579996,0.22748599280556944,10569
adrenal gland,aggregated,139187,2.32%,LYZ,3.00429929373065,0.33815766313160306,3230
adrenal gland,aggregated,139187,4.05%,HLA-DQB1,2.244132302024148,0.1763258040677345,5632
adrenal gland,aggregated,139187,1.75%,LST1,2.3390999215548156,0.19654344912098345,2440
adrenal gland,aggregated,139187,14.77%,SAT1,2.621044157079969,0.25656652337332275,20558
adrenal gland,aggregated,139187,7.07%,HLA-DPB1,2.4185277492128785,0.21345282975911534,9846
adrenal gland,aggregated,139187,31.03%,PSAP,2.567686806809762,0.24520728351792592,43188
adrenal gland,aggregated,139187,12.02%,CD74,3.0761793448219192,0.35346019852792715,16734
adrenal gland,aggregated,139187,4.03%,TYROBP,2.9568667213935886,0.3280597485348959,5615
adrenal gland,aggregated,139187,8.59%,HLA-DRB1,2.660555927382247,0.2649781793813898,11953
adrenal gland,aggregated,139187,4.31%,CPVL,2.2993289429809938,0.18807661029529044,5998
adrenal gland,aggregated,139187,3.48%,HLA-DQA1,2.1816390141752575,0.1630216155645008,4850
adrenal gland,aggregated,139187,5.30%,CTSS,2.229747547275315,0.17326343536641073,7377
adrenal gland,aggregated,139187,1.78%,MS4A6A,2.5754122167416127,0.24685194510536906,2474
adrenal gland,aggregated,139187,0.92%,CALHM6,2.1102762081060016,0.14782919639844871,1283
adrenal gland,aggregated,139187,2.11%,FGL2,2.0726990805227117,0.1398294062451926,2939
adrenal gland,aggregated,139187,0.88%,CSTA,2.2248658419432004,0.1722241697077893,1228
adrenal gland,aggregated,139187,2.80%,GPR183,2.3419888295483706,0.19715846839485635,3897
adrenal gland,aggregated,139187,1.12%,SPI1,2.2221659316331035,0.17164938612792377,1558
adrenal gland,aggregated,139187,1.69%,JAML,1.7584160727532854,0.0729217346751177,2359
adrenal gland,aggregated,139187,1.83%,HLA-DMB,2.0475722978699884,0.13448016852065595,2544
adrenal gland,aggregated,139187,1.16%,RNASE6,2.23976961257963,0.17539703163874532,1609
adrenal gland,aggregated,139187,2.54%,C1QB,3.1376823395103166,0.3665535636398149,3538
adrenal gland,aggregated,139187,12.46%,NPC2,2.458439987598062,0.22194974136899004,17336
adrenal gland,aggregated,139187,2.56%,C1QA,3.0347066864843093,0.3446310893028223,3569
adrenal gland,aggregated,139187,1.80%,CD163,2.668940831067937,0.26676324051444483,2506
adrenal gland,aggregated,139187,2.01%,C1QC,2.9716726895601933,0.33121178930986184,2791
adrenal gland,aggregated,139187,1.70%,MS4A7,2.5676073143787046,0.24519036038387795,2362
adrenal gland,aggregated,139187,16.27%,CTSB,2.4984440886060577,0.23046620960154166,22648
adrenal gland,aggregated,139187,6.88%,GRN,2.324339418962638,0.1934010875066667,9582
adrenal gland,aggregated,139187,1.76%,C5AR1,2.4962634915619892,0.23000198256016674,2448
adrenal gland,aggregated,139187,1.44%,VSIG4,2.631760199111596,0.25884786026732765,2005
adrenal gland,aggregated,139187,1.92%,CD14,2.5616188235259654,0.2439154712894302,2667
adrenal gland,aggregated,139187,1.29%,MS4A4A,2.4460068598621936,0.21930285430677074,1796
adrenal gland,aggregated,139187,3.29%,FCER1G,2.730414141000437,0.27985028604223444,4578
adrenal gland,aggregated,139187,2.24%,PLAUR,2.5141346548582186,0.23380657235611438,3121
